id,genus,family,order
21345,Spyridium,Rhamnaceae,Rosales
21346,Colubrina,Rhamnaceae,Rosales
21347,Meriania,Melastomataceae,Myrtales
21348,Thelypteris,Thelypteridaceae,Polypodiales
21349,Convolvulus,Convolvulaceae,Solanales
21350,Camellia,Theaceae,Ericales
21351,Monochaetum,Melastomataceae,Myrtales
21352,Hesperidanthus,Brassicaceae,Brassicales
21353,Cryptolepis,Apocynaceae,Gentianales
21354,Fumaria,Papaveraceae,Ranunculales
21355,Silene,Caryophyllaceae,Caryophyllales
21356,Erica,Ericaceae,Ericales
21357,Corokia,Argophyllaceae,Asterales
21358,Leptinella,Asteraceae,Asterales
21359,Kummerowia,Fabaceae,Fabales
21360,Sedum,Crassulaceae,Saxifragales
21361,Fleischmannia,Asteraceae,Asterales
21362,Eleocharis,Cyperaceae,Poales
21363,Metalasia,Asteraceae,Asterales
21364,Cola,Malvaceae,Malvales
21365,Begonia,Begoniaceae,Cucurbitales
21366,Pterostylis,Orchidaceae,Asparagales
21367,Hessea,Amaryllidaceae,Asparagales
21368,Turnera,Passifloraceae,Malpighiales
21369,Malpighia,Malpighiaceae,Malpighiales
21370,Adenia,Passifloraceae,Malpighiales
21371,Allium,Amaryllidaceae,Asparagales
21372,Gentiana,Gentianaceae,Gentianales
21373,Hirtella,Chrysobalanaceae,Malpighiales
21374,Bromelia,Bromeliaceae,Poales
21375,Lagerstroemia,Lythraceae,Myrtales
21376,Quercus,Fagaceae,Fagales
21377,Parthenocissus,Vitaceae,Vitales
21378,Eremurus,Asphodelaceae,Asparagales
21379,Bidens,Asteraceae,Asterales
21380,Plantago,Plantaginaceae,Lamiales
21381,Jobinia,Apocynaceae,Gentianales
21382,Zanthoxylum,Rutaceae,Sapindales
21383,Coccoloba,Polygonaceae,Caryophyllales
21384,Aizoon,Aizoaceae,Caryophyllales
21385,Calanthe,Orchidaceae,Asparagales
21386,Eriosema,Fabaceae,Fabales
21387,Ruellia,Acanthaceae,Lamiales
21388,Solanum,Solanaceae,Solanales
21389,Ardisia,Primulaceae,Ericales
21390,Thelymitra,Orchidaceae,Asparagales
21391,Micrandra,Euphorbiaceae,Malpighiales
21392,Begonia,Begoniaceae,Cucurbitales
21393,Sophora,Fabaceae,Fabales
21394,Bruchia,Bruchiaceae,Dicranales
21395,Lophomyrtus,Myrtaceae,Myrtales
21396,Algernonia,Euphorbiaceae,Malpighiales
21397,Euphorbia,Euphorbiaceae,Malpighiales
21398,Pultenaea,Fabaceae,Fabales
21399,Psidium,Myrtaceae,Myrtales
21400,Polygala,Polygalaceae,Fabales
21401,Diospyros,Ebenaceae,Ericales
21402,Cryptocarya,Lauraceae,Laurales
21403,Bolusiella,Orchidaceae,Asparagales
21404,Lithocarpus,Fagaceae,Fagales
21405,Gleditsia,Fabaceae,Fabales
21406,Solanum,Solanaceae,Solanales
21407,Mikaniopsis,Asteraceae,Asterales
21408,Acacia,Fabaceae,Fabales
21409,Carex,Cyperaceae,Poales
21410,Corchorus,Malvaceae,Malvales
21411,Aspidistra,Asparagaceae,Asparagales
21412,Angelica,Apiaceae,Apiales
21413,Myrcia,Myrtaceae,Myrtales
21414,Psilopilum,Polytrichaceae,Polytrichales
21415,Pterocarpus,Fabaceae,Fabales
21416,Micranthes,Saxifragaceae,Saxifragales
21417,Daphne,Thymelaeaceae,Malvales
21418,Azara,Salicaceae,Malpighiales
21419,Myrcia,Myrtaceae,Myrtales
21420,Aristolochia,Aristolochiaceae,Piperales
21421,Corypha,Arecaceae,Arecales
21422,Persicaria,Polygonaceae,Caryophyllales
21423,Xyris,Xyridaceae,Poales
21424,Selaginella,Selaginellaceae,Selaginellales
21425,Heliotropium,Boraginaceae,Boraginales
21426,Eriosema,Fabaceae,Fabales
21427,Rubus,Rosaceae,Rosales
21428,Solanum,Solanaceae,Solanales
21429,Serianthes,Fabaceae,Fabales
21430,Guettarda,Rubiaceae,Gentianales
21431,Scutellaria,Lamiaceae,Lamiales
21432,Eucalyptus,Myrtaceae,Myrtales
21433,Ligustrum,Oleaceae,Lamiales
21434,Tomostima,Brassicaceae,Brassicales
21435,Pinus,Pinaceae,Pinales
21436,Lathyrus,Fabaceae,Fabales
21437,Blepharocalyx,Myrtaceae,Myrtales
21438,Justicia,Acanthaceae,Lamiales
21439,Gastridium,Poaceae,Poales
21440,Lindera,Lauraceae,Laurales
21441,Balsamorhiza,Asteraceae,Asterales
21442,Stenospermation,Araceae,Alismatales
21443,Guzmania,Bromeliaceae,Poales
21444,Rhododendron,Ericaceae,Ericales
21445,Lunania,Salicaceae,Malpighiales
21446,Solanum,Solanaceae,Solanales
21447,Gnidia,Thymelaeaceae,Malvales
21448,Senna,Fabaceae,Fabales
21449,Allium,Amaryllidaceae,Asparagales
21450,Tanacetum,Asteraceae,Asterales
21451,Goeppertia,Marantaceae,Zingiberales
21452,Pinus,Pinaceae,Pinales
21453,Ixia,Iridaceae,Asparagales
21454,Aeonium,Crassulaceae,Saxifragales
21455,Sorbus,Rosaceae,Rosales
21456,Hesperantha,Iridaceae,Asparagales
21457,Lobelia,Campanulaceae,Asterales
21458,Indigofera,Fabaceae,Fabales
21459,Ceratonia,Fabaceae,Fabales
21460,Dioscorea,Dioscoreaceae,Dioscoreales
21461,Telipogon,Orchidaceae,Asparagales
21462,Caladenia,Orchidaceae,Asparagales
21463,Stanhopea,Orchidaceae,Asparagales
21464,Sedum,Crassulaceae,Saxifragales
21465,Calligonum,Polygonaceae,Caryophyllales
21466,Tamarix,Tamaricaceae,Caryophyllales
21467,Ribes,Grossulariaceae,Saxifragales
21468,Caladenia,Orchidaceae,Asparagales
21469,Tetradymia,Asteraceae,Asterales
21470,Ixora,Rubiaceae,Gentianales
21471,Canavalia,Fabaceae,Fabales
21472,Coeliopsis,Orchidaceae,Asparagales
21473,Inga,Fabaceae,Fabales
21474,Helianthus,Asteraceae,Asterales
21475,Eragrostis,Poaceae,Poales
21476,Erythrococca,Euphorbiaceae,Malpighiales
21477,Artemisia,Asteraceae,Asterales
21478,Cyphia,Campanulaceae,Asterales
21479,Eucalyptus,Myrtaceae,Myrtales
21480,Calophyllum,Calophyllaceae,Malpighiales
21481,Prunus,Rosaceae,Rosales
21482,Valeriana,Caprifoliaceae,Dipsacales
21483,Asplenium,Aspleniaceae,Polypodiales
21484,Pityopsis,Asteraceae,Asterales
21485,Eucalyptus,Myrtaceae,Myrtales
21486,Habenaria,Orchidaceae,Asparagales
21487,Iris,Iridaceae,Asparagales
21488,Pectis,Asteraceae,Asterales
21489,Clutia,Peraceae,Malpighiales
21490,Acmispon,Fabaceae,Fabales
21491,Carex,Cyperaceae,Poales
21492,Tetratheca,Elaeocarpaceae,Oxalidales
21493,Casuarina,Casuarinaceae,Fagales
21494,Cordia,Boraginaceae,Boraginales
21495,Salacia,Celastraceae,Celastrales
21496,Antimima,Aizoaceae,Caryophyllales
21497,Phyllanthus,Phyllanthaceae,Malpighiales
21498,Miconia,Melastomataceae,Myrtales
21499,Lonchocarpus,Fabaceae,Fabales
21500,Citronella,Cardiopteridaceae,Cardiopteridales
21501,Diplospora,Rubiaceae,Gentianales
21502,Citropsis,Rutaceae,Sapindales
21503,Justicia,Acanthaceae,Lamiales
21504,Renealmia,Zingiberaceae,Zingiberales
21505,Banksia,Proteaceae,Proteales
21506,Cyperus,Cyperaceae,Poales
21507,Licania,Chrysobalanaceae,Malpighiales
21508,Zoysia,Poaceae,Poales
21509,Brownea,Fabaceae,Fabales
21510,Anisophyllea,Anisophylleaceae,Cucurbitales
21511,Gibasis,Commelinaceae,Commelinales
21512,Cassinia,Asteraceae,Asterales
21513,Marchantia,Marchantiaceae,Marchantiales
21514,Ozothamnus,Asteraceae,Asterales
21515,Cypripedium,Orchidaceae,Asparagales
21516,Stromanthe,Marantaceae,Zingiberales
21517,Impatiens,Balsaminaceae,Ericales
21518,Siparuna,Siparunaceae,Laurales
21519,Olyra,Poaceae,Poales
21520,Pachycereus,Cactaceae,Caryophyllales
21521,Besleria,Gesneriaceae,Lamiales
21522,Aralia,Araliaceae,Apiales
21523,Anaxagorea,Annonaceae,Magnoliales
21524,Erucastrum,Brassicaceae,Brassicales
21525,Myoporum,Scrophulariaceae,Lamiales
21526,Serjania,Sapindaceae,Sapindales
21527,Erica,Ericaceae,Ericales
21528,Renealmia,Zingiberaceae,Zingiberales
21529,Dimocarpus,Sapindaceae,Sapindales
21530,Calliandra,Fabaceae,Fabales
21531,Henckelia,Gesneriaceae,Lamiales
21532,Aloysia,Verbenaceae,Lamiales
21533,Eriosema,Fabaceae,Fabales
21534,Anthospermum,Rubiaceae,Gentianales
21535,Dyckia,Bromeliaceae,Poales
21536,Stenomesson,Amaryllidaceae,Asparagales
21537,Dierama,Iridaceae,Asparagales
21538,Pelargonium,Geraniaceae,Geraniales
21539,Salvia,Lamiaceae,Lamiales
21540,Corydalis,Papaveraceae,Ranunculales
21541,Pouteria,Sapotaceae,Ericales
21542,Lippia,Verbenaceae,Lamiales
21543,Eleocharis,Cyperaceae,Poales
21544,Olearia,Asteraceae,Asterales
21545,Quercus,Fagaceae,Fagales
21546,Lithocarpus,Fagaceae,Fagales
21547,Euphorbia,Euphorbiaceae,Malpighiales
21548,Euphorbia,Euphorbiaceae,Malpighiales
21549,Peperomia,Piperaceae,Piperales
21550,Hibbertia,Dilleniaceae,Dilleniales
21551,Helenium,Asteraceae,Asterales
21552,Bonellia,Primulaceae,Ericales
21553,Linum,Linaceae,Malpighiales
21554,Notopleura,Rubiaceae,Gentianales
21555,Bartlettina,Asteraceae,Asterales
21556,Lathyrus,Fabaceae,Fabales
21557,Monochaetum,Melastomataceae,Myrtales
21558,Ipomoea,Convolvulaceae,Solanales
21559,Beilschmiedia,Lauraceae,Laurales
21560,Archidendropsis,Fabaceae,Fabales
21561,Primulina,Gesneriaceae,Lamiales
21562,Silene,Caryophyllaceae,Caryophyllales
21563,Lindera,Lauraceae,Laurales
21564,Sasa,Poaceae,Poales
21565,Gaussia,Arecaceae,Arecales
21566,Procris,Urticaceae,Rosales
21567,Henriquezia,Rubiaceae,Gentianales
21568,Gompholobium,Fabaceae,Fabales
21569,Myrsine,Primulaceae,Ericales
21570,Leucas,Lamiaceae,Lamiales
21571,Xylanthemum,Asteraceae,Asterales
21572,Lomatogonium,Gentianaceae,Gentianales
21573,Trichoscypha,Anacardiaceae,Sapindales
21574,Coccothrinax,Arecaceae,Arecales
21575,Eucalyptus,Myrtaceae,Myrtales
21576,Citharexylum,Verbenaceae,Lamiales
21577,Haniffia,Zingiberaceae,Zingiberales
21578,Alstonia,Apocynaceae,Gentianales
21579,Syzygium,Myrtaceae,Myrtales
21580,Myrcia,Myrtaceae,Myrtales
21581,Rosa,Rosaceae,Rosales
